"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
149,"Entire",1,2,1,75,4,4.55,4.78,"f"
110,"Shared",1,1,1,65,2,4.81,4.96,"f"
196,"Entire",1,1,1,25,2,4.92,4.92,"t"
85,"Entire",1,1,1,47,2,4.8,5,"f"
105,"Entire",1,1,1,52,2,4.65,4.82,"f"
57,"Shared",1,1,1,27,2,4.96,4.97,"f"
93,"Entire",1,1,1,33,2,4.45,4.93,"f"
144,"Entire",3,3,1,18,6,4.6,4.84,"f"
105,"Entire",1,1,1.5,29,2,4.25,4.75,"f"
99,"Entire",1,1,1,64,2,4.76,4.92,"f"
82,"Shared",1,1,1.5,29,1,4.85,4.92,"t"
88,"Shared",1,1,1,24,2,4.66,5,"f"
200,"Entire",1,1,1,12,3,4.78,4.78,"f"
154,"Shared",1,1,1,33,2,4.77,4.9,"t"
187,"Entire",3,3,1.5,24,6,4.86,5,"f"
60,"Entire",2,1,1,23,2,4.78,5,"f"
463,"Shared",1,1,1.5,11,2,3.63,4.75,"f"
99,"Entire",1,1,1,6,2,4.41,4.81,"f"
600,"Entire",2,2,1,66,4,4.93,4.93,"t"
200,"Entire",2,2,1,13,5,5,5,"f"
170,"Entire",1,2,1,30,3,4.46,4.63,"f"
249,"Entire",3,3,2.5,46,5,4.75,5,"t"
120,"Entire",1,1,1,44,2,4.77,4.91,"t"
113,"Shared",1,1,1,58,2,5,4.97,"t"
100,"Shared",1,1,2,9,1,4.25,4.75,"t"
350,"Entire",3,4,1.5,72,5,4.99,5,"f"
119,"Entire",1,1,1,19,2,4,5,"f"
200,"Entire",1,1,1,33,2,4.62,4.74,"t"
111,"Shared",1,1,1,28,1,4.96,4.97,"f"
128,"Entire",1,1,1,53,2,4.74,4.78,"f"
480,"Entire",1,1,1,24,2,4.94,4.94,"f"
200,"Entire",1,2,1,59,2,4.72,4.98,"f"
121,"Entire",1,2,1,27,5,4,5,"f"
85,"Shared",1,1,1.5,37,2,4.98,4.98,"t"
60,"Entire",1,1,1,10,2,4.57,4.93,"f"
70,"Entire",2,2,1,7,2,4,5,"f"
99,"Shared",1,2,1.5,39,2,4.97,5,"t"
120,"Entire",1,1,1,30,2,4.97,4.99,"t"
79,"Entire",1,1,1,32,3,4.54,4.96,"f"
130,"Shared",1,1,1,52,2,4.99,4.99,"t"
90,"Entire",2,1,1.5,25,2,5,5,"f"
99,"Shared",1,1,2,50,2,4.58,4.85,"t"
250,"Entire",1,2,1.5,57,3,4.81,5,"f"
180,"Shared",1,1,1,12,2,5,4.88,"f"
145,"Entire",2,2,1,13,4,5,5,"f"
60,"Shared",1,1,1,14,2,4.91,5,"f"
110,"Entire",1,1,1,29,2,4.55,4.93,"f"
95,"Entire",1,4,1,34,4,4.57,4.85,"t"
170,"Entire",1,1,1,20,2,4.67,5,"f"
59,"Shared",1,1,1.5,43,2,4.98,5,"t"
315,"Entire",3,3,3,15,6,5,5,"f"
99,"Entire",1,3,1,9,3,4.5,5,"f"
550,"Entire",2,2,2,59,4,4.8,5,"t"
119,"Shared",1,1,1,45,2,4.69,4.87,"t"
100,"Shared",1,1,1,22,1,4.5,4.81,"f"
229,"Entire",3,4,2,14,5,4.8,5,"f"
115,"Entire",4,4,2,70,4,4.68,5,"t"
449,"Entire",3,4,2,32,7,4.8,4.96,"f"
155,"Entire",1,1,1,12,2,4.76,4.93,"f"
170,"Entire",1,2,1.5,42,4,4.87,4.79,"f"
326,"Entire",2,3,1,38,6,4.83,4.74,"f"
350,"Entire",3,6,1,55,6,5,5,"f"
118,"Entire",1,2,1,55,2,4.46,4.85,"t"
39,"Shared",1,1,1,18,1,5,5,"f"
150,"Entire",1,1,1,48,1,4.84,4.9,"f"
274,"Entire",2,2,1,61,4,4.92,5,"t"
129,"Entire",1,1,1,18,2,4.5,5,"f"
125,"Entire",2,2,2,15,4,5,5,"f"
221,"Entire",2,2,1,57,5,4.94,4.92,"f"
150,"Entire",2,4,1,41,5,4.77,4.88,"f"
160,"Entire",1,1,1,38,2,5,5,"f"
128,"Entire",2,2,1,11,4,4.75,4.75,"f"
100,"Entire",2,2,1,15,3,5,5,"f"
200,"Entire",3,3,1,45,6,4.88,4.87,"t"
122,"Entire",3,4,1,39,6,4.93,5,"f"
30,"Shared",1,1,1,16,1,4,4.31,"f"
120,"Entire",1,1,1,49,2,4.32,4.67,"f"
60,"Shared",1,2,1,34,3,4.64,4.85,"f"
74,"Entire",1,1,1,53,2,4.85,4.96,"t"
250,"Shared",1,1,1,15,2,4.71,5,"f"
499,"Entire",2,1,1,13,4,4.27,5,"f"
45,"Shared",1,1,1.5,12,1,5,5,"f"
150,"Entire",2,2,2,28,4,4.66,4.96,"t"
45,"Entire",1,2,1,29,2,4.85,4.92,"f"
314,"Entire",1,2,1,54,4,4.75,4.95,"t"
195,"Entire",1,1,1,28,2,4.9,4.94,"t"
160,"Entire",1,1,2,10,3,4.77,4.83,"f"
30,"Shared",1,1,1,15,1,4.5,5,"f"
109,"Shared",1,1,1,62,2,4.94,4.96,"t"
109,"Entire",1,2,1,52,3,4.72,4.89,"f"
450,"Entire",1,1,1,26,3,4.21,4.64,"f"
285,"Entire",2,4,1,19,8,4.63,4.76,"f"
170,"Entire",2,2,1,39,3,4.99,4.99,"t"
295,"Entire",3,4,2,37,8,4.72,4.88,"f"
83,"Shared",1,1,1,61,2,4.86,4.84,"t"
130,"Entire",1,1,1,25,2,4.32,4.68,"f"
429,"Entire",2,2,1.5,49,4,4.7,4.95,"f"
300,"Entire",3,3,1.5,38,6,4.82,4.93,"f"
105,"Entire",1,3,1,57,4,5,4.78,"t"
125,"Shared",1,1,1,9,2,4.92,5,"f"
93,"Shared",1,1,1.5,38,1,4.79,4.9,"t"
560,"Entire",2,2,2,39,4,4.85,4.91,"f"
320,"Entire",2,2,1,40,4,4.88,4.96,"f"
228,"Entire",1,1,1,41,2,5,5,"t"
300,"Entire",2,3,1.5,47,6,4.7,4.88,"f"
87,"Entire",1,2,1,13,4,3.5,4.25,"f"
260,"Entire",1,1,1,31,3,4.35,4.88,"f"
259,"Entire",2,3,2,27,4,4.48,4.46,"f"
165,"Entire",3,2,2,25,3,4.8,5,"t"
128,"Entire",1,1,1,30,4,4.67,4.83,"f"
515,"Entire",4,5,3.5,12,8,5,5,"f"
129,"Shared",1,2,1,12,4,4.73,5,"f"
108,"Shared",1,1,1,13,2,4.3,4.83,"f"
54,"Entire",1,1,1,5,3,3.75,5,"f"
100,"Entire",2,3,1,19,4,4.5,5,"f"
231,"Entire",1,2,1,30,5,4.39,4.69,"f"
245,"Entire",1,3,1,16,6,4.67,4.91,"f"
293,"Entire",3,5,2,64,6,5,5,"f"
100,"Shared",1,1,1,39,2,4.73,4.86,"t"
32,"Shared",1,1,2,16,1,2,4,"f"
94,"Entire",2,2,2,26,3,5,5,"f"
350,"Entire",3,3,1,64,6,4.73,4.93,"t"
79,"Shared",1,1,1,12,1,4.77,4.95,"f"
893,"Entire",1,2,1,45,2,5,5,"f"
41,"Shared",1,1,1,19,1,4.83,4.94,"f"
96,"Shared",1,1,1,56,2,4.5,4.88,"t"
74,"Entire",1,1,1,15,2,4.64,4.9,"f"
100,"Entire",2,1,1,28,3,5,5,"f"
211,"Entire",1,1,1,58,3,4.47,4.91,"t"
260,"Entire",1,2,1,37,4,4.62,4.88,"f"
69,"Entire",2,3,1,13,4,4.96,4.92,"f"
99,"Entire",1,1,1,14,2,4.83,4.69,"f"
250,"Entire",4,5,2,12,8,5,5,"f"
120,"Entire",1,1,1,17,2,4.5,5,"f"
109,"Entire",2,1,1,30,2,5,5,"f"
143,"Entire",2,2,1,33,4,4.9,4.94,"f"
767,"Entire",5,5,2.5,73,10,4.93,4.94,"t"
75,"Entire",1,1,1,17,2,5,5,"f"
90,"Entire",1,1,2,14,2,4.8,5,"f"
246,"Entire",3,3,1.5,58,6,4.55,5,"f"
